x,y,source,title
-13.313882,33.47971,My Sinchew,Pay up or face legal action: DBKL
3.02395,8.653918,Newshence.com,"Euro up; USD, Pound and Yen down"
0.46146458,8.749471,The Sydney News,Police chiefs warn ministers Were too broke to go on the beat
10.214789,33.587055,Bayou Buzz,The Tom and Jerry Show: 'PM; Watson will run the Labour show while 'President' Corbyn carries on campaigning
-13.9177065,-28.283787,NDTV,Bayern Munich's Arjen Robben Sidelined With Groin Injury
14.291151,14.253371,Law360 - Product Liability,Caterpillar Still On Hook For $4.5M In Wash. Asbestos Suit
8.108979,-14.694427,Waterloo/Cedar Falls Courier,Facebook ready to test button that goes beyond 'like'
13.843465,6.5254307,Townsville Bulletin,Hockey mum on multinational tax revenue
0.40203688,-8.523259,Texarkana Gazette,Jackson meets with Seattle
9.134286,-2.3151176,Market Pulse Navigator,"Master Stylist of the Hair Connoisseur's Salon, LLC Helps Clients Achieve Self-Image"
-16.04635,-35.328297,LocalNews7.com,No. 4 Baylor shows plenty of offense in 56-21 win at SMU
15.178347,-9.902717,State Journal,The Streaming Media Device Landscape
-1.1160877,-27.986567,Before It's News,"Panelists say fewer births, marriages point to global demographic shift"
3.1918504,-14.932734,Chicago Daily Herald,"Shell says it will cease Alaska Arctic exploration, cites disappointing outcome at well"
19.615294,13.444075,Yahoo! News Australia,Palmer's ex-friend seeks 'promised' cash (AAP)
-4.635586,-3.4027195,App.ViralNewsChart.com,"With This Answer, Anthony Anderson's Mom Proves You're Never Too Old To Be Embarrassed By Your Parents"
-22.6442,13.285969,Ealing Times,Nursery celebrates six years since its opening
10.785785,-35.851315,News Headlines.com.ng,PDP celebrates Nigeria’s delisting from Polio endemic countries
26.144953,-8.098267,Cincinnati Business Journal,3 ways rising interest rates can impact businesses
-14.504063,-15.319294,N4G.com,"Dark Era, Fantasy-MMORPG Enters Closed Beta"
18.979467,22.52217,The Australian,FIFA’s Sepp Blatter Investigated by Swiss Authorities
-3.9381716,23.381807,NewsOnFeeds.com,Martín Cáceres suspended by Juventus for alleged drink-driving incident
-4.286765,-5.277289,UAE NewsApp.com,Volunteers at Budapest station set up projector showing 'Tom and Jerry' for refugee children
-9.9884615,-28.472754,Football365.com,Matteo Darmian: United not apex of career
-14.153978,9.980405,WXTK-FM 95.1,Hurricane Joaquin Moving Closer To East Co...
-15.764083,0.50092757,Global News Canada,PotashCorp Fireworks Festival on Friday
17.948847,3.9189475,TeleTrader.com,WSJ: Smaller oil and gas producers brace for credit line cuts
-11.456334,-25.775259,Backpageheadlines.com,Arsenal and Tottenham to go head to head.
10.7366,-31.782654,UAE NewsApp.com,Tanmiyat Global launches twin tower development in Dubailand
-17.412685,24.375338,Fox 23 Oklahoma,Inmate dies in Tulsa County cell
-29.292606,24.65479,Yahoo! News Australia,Texas teen fatally shoots himself while taking selfie (Reuters)
3.856523,6.423503,South African Décor and Design,Dreams do come true with Easylife Kitchens
-14.899154,-33.83704,Jersey Evening Post,Five-goal Cristiano Ronaldo becomes Real Madrid's all-time top scorer in La Liga
7.569766,-15.040661,MyInforms,NASA can't tell the difference between the sun and the moon
23.499842,7.2313867,HDFC Securities,Universal Cables updates on outcome of rights issue committee
23.621555,10.042257,Benzinga.com,BioLineRx to Present at the 17th Annual Rodman & Renshaw Global Investment Conference in New York
-30.064516,24.846043,WMT Radio,Body Found in Cedar Rapids Identified
-46.46179,11.734186,The Area News,"Best of the world - September 29, 2015"
41.35053,-9.409909,RCL Advisors,"Pedernales Electric Cooperative Inc. - Power Plants and SWOT Analysis 2015 Market Shares, Strategies, and Forecasts Worldwide"
-15.715056,14.488857,State Journal,"Harrison County Couple Arrested After Deputies Find Synthetic Marijuana, Pills"
18.242271,12.546392,Forbes.com,"Box Office: Anne Hathaway's 'The Intern' Nabs Solid $6.22M Friday, 'Green Inferno' Scares Up $1.47M"
